time;bulk
3510;196.6798204
3520;197.7411893
3530;199.1563478
3540;199.0474895
3550;196.570962
3560;197.958906
3570;197.7684039
3580;197.169683
3590;197.1152538
3600;198.0677643
3610;197.7956185
3620;198.2038373
3630;197.6595455
3640;197.3057559
3650;197.9861206
3660;197.6323309
3670;197.9044768
3680;197.4418288
3690;198.3126956
3700;198.9658457
3710;197.496258
3720;198.4759831
3730;197.03361
3740;197.3329705
3750;197.1152538
3760;197.8500476
3770;197.7411893
3780;197.4418288
3790;198.9386311
3800;197.7411893
3810;198.2582664
3820;196.1627432
3830;197.4418288
3840;197.9316914
3850;199.1563478
3860;198.0677643
3870;198.748129
3880;196.9791808
3890;199.7006395
3900;198.6392706
3910;198.6392706
3920;198.1494081
3930;200.925296
3940;196.3532453
3950;198.9658457
3960;198.5576269
3970;197.3057559
3980;197.7956185
3990;197.2241121
4000;197.7139747
4010;197.4146142
4020;197.2513267
4030;199.2652062
4040;199.673425
4050;198.421554
4060;197.822833
4070;197.9316914
4080;198.6392706
4090;198.285481
4100;197.9316914
4110;198.7753436
4120;198.6392706
4130;197.7139747
4140;197.9861206
4150;198.1766227
4160;198.6392706
4170;198.6120561
4180;198.9930603
4190;197.5234726
4200;198.0677643
4210;198.6664852
4220;198.3943394
4230;197.9316914
4240;196.1355286
4250;200.7075793
4260;197.6867601
4270;198.9114165
4280;198.2038373
4290;198.6936998
4300;198.3399102
4310;198.4759831
4320;198.2582664
4330;199.537352
4340;197.9044768
4350;198.8569873
4360;199.074704
4370;198.6936998
4380;198.6120561
4390;198.8297728
4400;200.5442917
4410;198.285481
4420;197.7139747
4430;198.9114165
4440;196.3532453
4450;197.9861206
4460;198.3943394
4470;198.3126956
4480;199.5645666
4490;198.3943394
4500;199.7278541
4510;198.1221935
4520;198.0677643
4530;198.9930603
4540;197.2241121
4550;198.5848415
4560;198.3126956
4570;198.9930603
4580;197.958906
4590;198.5848415
4600;199.7006395
4610;199.074704
4620;198.3399102
4630;199.5101374
4640;199.9455708
4650;198.8025582
4660;198.3399102
4670;198.7753436
4680;199.074704
4690;198.0405497
4700;197.1152538
4710;198.4487685
4720;198.421554
4730;198.8297728
4740;198.2582664
4750;199.5645666
4760;198.2310518
4770;199.7278541
4780;198.5031977
4790;198.4759831
4800;199.4012791
4810;197.9044768
4820;199.2652062
4830;199.074704
4840;198.7209144
4850;197.4690434
4860;199.3740645
4870;198.9930603
4880;200.0272146
4890;198.9930603
4900;200.0544292
4910;199.5101374
4920;199.3468499
4930;199.074704
4940;199.1563478
4950;199.1563478
4960;198.0133351
4970;199.3468499
4980;200.6259355
4990;201.0341543
5000;197.9861206
5010;197.496258
5020;199.6462104
5030;197.0880392
5040;200.8436522
5050;198.6392706
5060;197.4690434
5070;198.2038373
5080;199.3740645
5090;200.5715063
5100;199.3468499
5110;200.1088583
5120;199.1019186
5130;199.074704
5140;199.4829228
5150;199.2652062
5160;199.2924207
5170;198.7753436
5180;199.210777
5190;200.1905021
5200;198.9658457
5210;197.822833
5220;200.1360729
5230;200.9797251
5240;199.7278541
5250;199.4012791
5260;199.1019186
5270;199.4557083
5280;198.3126956
5290;200.2177167
5300;200.8980814
5310;199.3196353
5320;198.3943394
5330;197.958906
5340;199.8094979
5350;197.9861206
5360;199.7278541
5370;199.9727854
