TRACK_ID;POSITION_X;POSITION_Y;POSITION_T;RADIUS;MEAN_INTENSITY_CH1;MEAN_INTENSITY_CH3
12;140.7543034;92.26480526;3;32.5;71.48021634;1055.473385
12;142.6961375;82.27035186;43;32.5;79.01280956;995.9943069
12;143.7663193;80.56529918;50;32.5;78.63393111;980.922858
12;143.9187403;82.90656595;57;32.5;81.23654996;1006.080558
12;137.353965;83.10219557;1;32.5;76.59777968;1010.055793
12;140.9724359;78.47768436;26;32.5;77.09365215;942.9555935
12;142.981215;87.0719579;53;32.5;81.72103615;1071.427555
12;145.8217918;85.79815384;45;32.5;79.73697694;1097.17421
12;147.4831755;85.76947889;4;32.5;70.22573299;1066.266439
12;138.9938188;79.68047474;18;32.5;75.23142613;943.5704526
12;140.2477676;81.78872995;13;32.5;74.44833476;980.275548
12;142.2152735;76.62160329;27;32.5;76.33134073;935.7022488
12;141.9301972;83.05705011;24;32.5;76.47993168;1035.761173
12;147.0203102;93.48322872;7;32.5;70.58553942;1113.023627
12;145.9850538;78.33370705;32;32.5;76.59379448;992.400797
12;143.6854087;80.35034757;31;32.5;77.3501281;1002.337319
12;144.5776096;84.97198414;44;32.5;79.38144036;1071.452605
12;139.3412558;82.81891263;10;32.5;71.69114717;948.048961
12;144.0811199;81.4958462;40;32.5;77.62852263;1007.34842
12;142.1525035;74.99235222;12;32.5;72.75291773;894.3094221
12;139.6363841;79.6398587;33;32.5;77.31483063;954.4935952
12;140.7780483;79.19561144;9;32.5;72.13692001;979.2009678
12;144.0694356;80.01920833;52;32.5;78.80757188;948.4278395
12;144.0449679;84.25298352;58;32.5;81.18901224;1022.803017
12;145.8106747;82.60637825;59;32.5;79.92997438;1019.603473
12;138.399862;78.77265067;21;32.5;76.82664389;921.7603188
12;141.1353139;81.49328681;19;32.5;75.735269;992.4460575
22;1683;169;10;32.5;55.33959579;149.8508397
22;1856.604714;427.1560351;54;32.5;56.58326217;143.4258469
22;1763.495532;235.3960327;27;32.5;56.15969257;147.6362084
