time;bulk
132;99.2
133;98.97142857
134;99.35238095
135;100.647619
136;100.4190476
137;102.1714286
138;101.1809524
139;102.0952381
140;102.4
141;102.6285714
142;103.3904762
143;103.0857143
144;104.6095238
145;104.8380952
146;104.3047619
147;103.7714286
148;105.447619
149;105.447619
150;106.2857143
151;105.5238095
152;107.5809524
153;105.2952381
154;110.247619
155;109.1047619
156;108.1904762
157;108.952381
158;110.0952381
159;109.8666667
160;109.9428571
161;110.4
162;107.352381
163;110.9333333
164;110.7047619
165;113.0666667
166;111.1619048
167;111.847619
168;112.8380952
169;113.2952381
170;114.9714286
171;113.752381
172;113.3714286
173;114.2095238
174;114.6666667
175;115.2761905
176;115.4285714
177;113.752381
178;115.7333333
179;116.4190476
180;116.0380952
181;115.8857143
182;117.4095238
183;117.7142857
184;116.647619
185;117.4095238
186;120.0761905
187;120.152381
188;118.7809524
189;119.4666667
190;121.2190476
191;120.152381
192;121.0666667
193;120.2285714
194;122.3619048
195;121.6761905
196;123.5809524
197;119.4666667
198;122.1333333
199;122.0571429
200;122.3619048
201;123.352381
202;123.8857143
203;126.0190476
204;124.4952381
205;123.9619048
206;124.952381
207;123.1238095
208;126.552381
209;125.9428571
210;124.952381
211;126.8571429
212;126.4
213;127.0857143
214;125.8666667
215;127.847619
216;127.2380952
217;126.9333333
218;128.4571429
219;126.7047619
220;126.7047619
221;128.6095238
222;128.6857143
223;130.4380952
224;130.5142857
225;128.4571429
226;128.5333333
227;130.4380952
228;130.2857143
229;131.8095238
230;132.5714286
231;131.4285714
232;132.8761905
233;129.9809524
234;132.1904762
235;132.1904762
236;132.1142857
237;132.8761905
238;132.647619
239;133.9428571
240;134.3238095
241;133.7904762
242;133.7142857
243;133.7142857
244;132.8761905
245;134.0952381
246;132.647619
247;136.9142857
248;133.3333333
249;136.0761905
250;135.6190476
251;135.4666667
252;137.6761905
253;136.152381
254;134.7047619
255;137.9047619
256;135.6952381
257;137.9809524
258;138.4380952
259;138.1333333
260;137.0666667
261;138.2857143
262;140.1142857
263;136.6857143
264;139.8857143
265;138.2095238
266;140.3428571
267;138.3619048
268;138.0571429
269;139.2
270;142.7047619
271;141.0285714
272;141.4857143
273;141.8666667
274;142.4
275;141.2571429
276;141.1047619
277;142.7809524
278;140.2666667
279;142.7047619
280;143.6190476
281;143.6190476
282;141.6380952
283;142.7809524
284;140.647619
285;143.9238095
286;142.7809524
287;141.4857143
288;143.7714286
289;144
290;142.4
291;143.2380952
292;144.3047619
293;144.9904762
294;144
295;145.1428571
296;146.2095238
297;143.7714286
298;144.7619048
299;144.4571429
300;145.2952381
301;146.8190476
302;145.9809524
303;146.2095238
304;145.5238095
305;148.2666667
306;148.1904762
307;145.9047619
308;146.8190476
309;148.1142857
310;146.4380952
311;149.4095238
312;147.6571429
313;149.4857143
314;148.2666667
315;151.3904762
316;149.6380952
317;149.0285714
318;147.5047619
319;147.352381
320;148.8
321;148.1904762
322;149.1809524
323;149.4857143
324;149.7904762
325;150.247619
326;151.1619048
327;150.3238095
328;151.6190476
329;150.6285714
330;151.3904762
331;150.7047619
332;150.9333333
333;151.847619
334;152.8380952
335;151.1619048
336;151.6952381
337;153.1428571
338;152.7619048
339;151.5428571
340;152.3047619
341;152.0761905
342;155.4285714
343;152.4571429
344;151.6190476
345;152.6095238
346;152.6095238
347;153.2190476
348;155.1238095
349;155.2
350;153.9047619
351;152.7619048
352;152.5333333
353;155.1238095
354;156.2666667
355;155.8095238
356;155.1238095
357;154.4380952
358;154.5142857
359;156.2666667
360;156.952381
361;153.9809524
362;156.4952381
363;155.5809524
364;156.0380952
365;156.952381
366;156.1904762
367;155.5047619
368;157.8666667
369;157.1809524
370;160.152381
371;157.0285714
372;156.952381
373;156.0380952
374;155.2
375;157.5619048
376;157.8666667
377;157.7904762
378;157.1047619
379;157.2571429
380;158.9333333
381;158.8571429
382;158.4
383;157.4857143
384;155.7333333
385;158.4761905
386;157.7142857
387;158.8571429
388;160.4571429
389;159.6952381
390;157.8666667
391;158.8571429
392;161.3714286
393;161.2952381
394;158.9333333
395;159.9238095
396;161.447619
397;161.6
398;161.9809524
399;161.2190476
400;160.8380952
401;159.4666667
402;160.6095238
